Категория;Подкатегория;НаименованиеКолекции;Бренд;Гарантия;Страна;Внимание;КраткоеОписание;Код;НазваниеРазмера;Цена1;Цена2;Цена3;Цвет;H;V;D;СкладРазмера
Посуда;Художественная роспись;Горшок для жаркого 0,5 мл;ТЕРРА;Нет;Украина;Нет;;000000045;Горшок для жаркого 0,5 мл;58;58;58;терракота;10;0,5;13;есть в наличии
Посуда;Художественная роспись;Горшок для жаркого 0,5 мл. худ. Розпись;ТЕРРА;Нет;Украина;Нет;;000000046;Горшок для жаркого 0,5 мл. худ. Розпись;72;72;72;терракота;10;0,5;13;есть в наличии
Посуда;Художественная роспись;Горшок для жаркого 0,6 рыжий;ТЕРРА;Нет;Украина;Нет;;000000047;Горшок для жаркого 0,6 рыжий;20;20;20;терракота;10;0,6;13;есть в наличии
Посуда;Художественная роспись;Горшок для жаркого 0,6 чорный худ розпись;ТЕРРА;Нет;Украина;Нет;;000000048;Горшок для жаркого 0,6 чорный худ розпись;50;50;50;черный;10;0,6;13;есть в наличии
Посуда;дымленая;Горшок для жаркого V0,5 дымленый, резбленный;ТЕРРА;Нет;Украина;Нет;;000000050;Горшок для жаркого V0,5 дымленый, резбленный;79;79;79;ченро-коричневый;10;0,5;13;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;Изменен артикул 10917188;000000235;Горшок Ксения 2  16*14*1,5 люкс персик,керамика;133;133;133;персик;120;1,2;162;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;Изменен артикул 10917189;000000236;Горшок Ксения 2  16*14*1,5 люкс салат,керамика;133;133;133;салат;120;1,2;162;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000000237;Горшок Ксения 2  16*14*1,5 люкс серебро,керамика;133;133;133;серебро;120;1,2;162;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000000255;Горшок Ксения 8 глянец беж;1 100;1 100;1 100;бежевый;340;26,5;397;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000000256;Горшок Ксения 8 глянец белый;1 100;1 100;1 100;белый;340;26,5;397;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000000257;Горшок Ксения 8 глянец красный;1 100;1 100;1 100;красный;340;26,5;397;есть в наличии
Однотонная керамика;глянец;Колекция Ксения глянец;Каменный цветок;Нет;;Нет;;000000258;Горшок Ксения 8 глянец  шоколад;1 100;1 100;1 100;шоколад;340;26,5;397;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000000261;Горшок Ксения 8 люкс персик;1 814;1 814;1 814;персик;36;30;;есть в наличии
Однотонная керамика;перламутр;Колекция Ксения перламутр;Каменный цветок;Нет;;Нет;;000000262;Горшок Ксения 8 люкс серебро/металик;1 814;1 814;1 814;серебро;36;30;;есть в наличии
Грунтосмеси;Для орхидей;Субстрат для орхидей Экофлора;Экофлора;Нет;;Нет;;000000404;Субстрат для орхидей Экофлора 3,5л;27;27;27;без цвета;;3,5;;есть в наличии
Грунтосмеси;Универсальные;Грунт Универсальный Экофлора;Экофлора;Нет;;Нет;;000000407;Грунт Универсальный Экофлора 20л;30;30;30;без цвета;;;;есть в наличии
Грунтосмеси;Универсальные;Грунт Универсальный Экофлора;Экофлора;Нет;;Нет;;000000408;Грунт Универсальный Экофлора 3,5л;9;9;9;без цвета;;3,5;;есть в наличии
Грунтосмеси;Универсальные;Грунт Универсальный Экофлора;Экофлора;Нет;;Нет;;000000410;Грунт Универсальный Экофлора 7л;14;14;14;без цвета;;;;есть в наличии
Посуда;дымленая;Миска d 17 дымленая, резбленная;ТЕРРА;Нет;Украина;Нет;;000000474;Миска d 17 дымленая, резбленная;54;54;54;ченро-коричневый;7;0,65;17;есть в наличии
Посуда;дымленая;Миска d 19 дымленая;ТЕРРА;Нет;Украина;Нет;;000000475;Миска d 19 дымленая;76;76;76;ченро-коричневый;7;0,65;19;есть в наличии
Посуда;Художественная роспись;Миска d 19 худ. розпись;ТЕРРА;Нет;Украина;Нет;;000000476;Миска d 19 худ. розпись;61;61;61;терракота;7;0,65;19;есть в наличии
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейниця стекло рельєфная;Веригос;Нет;Украина;Нет;;000000500;Орхидейница стекло рельефная;53;53;53;Прозрачный;16,5;1,2;13;есть в наличии
Посуда;дымленая;Стакан керамический V0,3;ТЕРРА;Нет;Польша;Нет;;000000555;Стакан керамический V0,3;47;47;47;ченро-коричневый;10,5;0,35;8,5;есть в наличии
Посуда;дымленая;Тарелка d 20 см, дымленая;ТЕРРА;Нет;Украина;Нет;;000000558;Тарелка d 20 см, дымленая;76;76;76;ченро-коричневый;;;20;есть в наличии
Посуда;Художественная роспись;Тарелка d 20 см, худ. розпись;ТЕРРА;Нет;Украина;Нет;;000000559;Тарелка d 20 см, худ. розпись;61;61;61;терракота;;;20;есть в наличии
Грунтосмеси;Для пальм;Грунт для Пальм Экофлора;Экофлора;Нет;;Нет;;000000612;Грунт для Пальм Экофлора 7л;14;14;14;без цвета;;;;есть в наличии
Посуда;дымленая;Піала V 1,0 дымленая;ТЕРРА;Нет;Украина;Нет;;000000630;Пиала V 1,0 дымленая;76;76;76;ченро-коричневый;9,5;1;17;есть в наличии
Посуда;дымленая;Соусница, дымленая;ТЕРРА;Нет;Украина;Нет;;000000647;Соусница, дымленая;29;29;29;ченро-коричневый;4,5;0,15;9;есть в наличии
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло Квадрат;Веригос;Нет;Украина;Нет;;000000653;Орхидейница стекло Квадрат;0;0;0;Прозрачный;15;2;15;Ожидается
Посуда;дымленая;Піала V 0,6 дымленая;ТЕРРА;Нет;Украина;Нет;;000000659;Пиала V 0,6 дымленая;68;68;68;ченро-коричневый;7;0,6;14;есть в наличии
Грунтосмеси;для Фиалок;Грунт для Фиалок Экофлора;Экофлора;Нет;;Нет;;000000671;Грунт для Фиалок Экофлора 3,5л;9;9;9;без цвета;;3,5;;есть в наличии
Посуда;дымленая;Блюдо 21 см, дымленое;ТЕРРА;Нет;Украина;Нет;;000000676;Блюдо 21 см, дымленое;79;79;79;ченро-коричневый;;;21;есть в наличии
Посуда;дымленая;Тарелка d 23 см, дымленая;ТЕРРА;Нет;Украина;Нет;;000000677;Тарелка d 23 см, дымленая;83;83;83;ченро-коричневый;;;23;есть в наличии
Пластиковые вазоны;Разноцветный пластик;Колекция АГА; Polnix;Нет;Польша;Нет;;000000685;Горшок АГА 16;0;0;0;белый;12,5;1,5;14;Ожидается
Грунтосмеси;Для декоративно-лиственных;Грунт для декоративно-лиственных растений Экофлора;Экофлора;Нет;;Нет;;000000693;Грунт для декоративно-лиственных растений Экофлора 7л;14;14;14;без цвета;;;;есть в наличии
Пластиковые вазоны;Разноцветный пластик;Колекция АГА; Polnix;Нет;Польша;Нет;;000000697;Горшок АГА 18;0;0;0;белый;14,5;2,5;16;есть в наличии
Пластиковые вазоны;Разноцветный пластик;Колекция АГА; Polnix;Нет;Польша;Нет;;000000698;Горшок АГА 20;0;0;0;белый;16;3,5;18;Ожидается
Грунтосмеси;Для цветущих;Грунт для цветущих растений Экофлора ;Экофлора;Нет;;Нет;;000000725;Грунт для цветущих растений  Экофлора  7л;14;14;14;без цвета;;;;Ожидается
Кашпо под орхидеи;Стеклянные кашпо;Колекция Орхидейница стекло Цилиндр;Веригос;Нет;Украина;Нет;;000000734;Орхидейница стекло Цилиндр;0;0;0;Прозрачный;15;2;15;Ожидается
Пластиковые вазоны;Разноцветный пластик;Колекция АГА; Polnix;Нет;Польша;Нет;;000000735;Горшок АГА 14;0;0;0;белый;18;4,5;20;есть в наличии
Комплектующие;Поддоны керамические;Колекция поддон Стандарт;ТЕРРА;Нет;Украина;Нет;;000000817;Поддон d 250;48;48;48;терракота;5;;25;есть в наличии
Посуда;дымленая;Кастрюля V2,0 дымленая;ТЕРРА;Нет;Украина;Нет;;000000819;Кастрюля V2,0 дымленая;0;0;0;ченро-коричневый;10;2;17;есть в наличии
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000000849;Горшок Виктория 10*11*0,25 люкс персик, керамика;60;60;60;персик;95;0,4;110;есть в наличии
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000000850;Горшок Виктория 10*11*0,25 люкс салат, керамика;60;60;60;салат;95;0,4;110;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000000851;Горшок Виктория 10 *11*0,25 глянец красный,керамика;60;60;60;красный;95;0,4;110;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000000853;Горшок Виктория 10 *11*0,25 глянец фиолет,керамика;60;60;60;фиолетовый;95;110;110;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000000854;Горшок Виктория 10 *11*0,25 глянец оранж,керамика;60;60;60;оранжевый;95;0,4;110;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000000855;Горшок Виктория 10 *11*0,25 глянец желтый,керамика;60;60;60;желтый;95;0,4;110;Ожидается
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000000856;Горшок Виктория 10 *11*0,25 глянец зеленый,керамика;60;60;60;зеленый;95;0,4;110;есть в наличии
Однотонная керамика;перламутр;Колекция Виктория перламутр;Каменный цветок;Нет;;Нет;;000000863;Горшок Виктория 10*11*0,25 люкс серебро, керамика;60;60;60;серебро;95;0,4;110;есть в наличии
Однотонная керамика;глянец;Колекция Виктория глянец;Каменный цветок;Нет;;Нет;;000000864;Горшок Виктория 10 *11*0,25 глянец белый,керамика;60;60;60;белый;95;0,4;110;Ожидается
Посуда;дымленая;Миска d 23 дымленая;ТЕРРА;Нет;Украина;Нет;;000000908;Миска d 23 дымленая;133;133;133;ченро-коричневый;9,5;3;23;есть в наличии
Грунтосмеси;для Фиалок;Полесский субстрат Фиалка ;RICH LAND;Нет;;Нет;;000000916;Полесский субстрат Фиалка  2,5л;11;11;11;без цвета;;2,5;;есть в наличии
Грунтосмеси;для кактусов;Полесский субстрат Кактус;RICH LAND;Нет;;Нет;;000000917;Полесский субстрат Кактус  2,5;13;13;13;без цвета;;2,5;;есть в наличии
Грунтосмеси;Универсальные;Полесский субстрат Универсальный;RICH LAND;Нет;;Нет;;000000918;Полесский субстрат Универсальный 2,5л;10;10;10;без цвета;;2,5;;Ожидается
Грунтосмеси;Универсальные;Полесский субстрат Универсальный;RICH LAND;Нет;;Нет;;000000919;Полесский субстрат Универсальный 5л;17;17;17;без цвета;;;;Ожидается
Грунтосмеси;Для цветущих;Полесский субстрат Цветы;RICH LAND;Нет;;Нет;;000000920;Полесский субстрат Цветы 5л;18;18;18;без цвета;;;;есть в наличии
Грунтосмеси;Для пальм;Полесский субстрат Пальма ;RICH LAND;Нет;;Нет;;000000921;Полесский субстрат Пальма  5л;19;19;19;без цвета;;;;есть в наличии
Грунтосмеси;для комнатных растений;Полесский субстрат Декор-лиственный;RICH LAND;Нет;;Нет;;000000922;Полесский субстрат Декор-лиственный 5л;19;19;19;без цвета;;;;есть в наличии
Грунтосмеси;Универсальные;Полесский субстрат Универсальный;RICH LAND;Нет;;Нет;;000000923;Полесский субстрат Универсальный 10л;33;33;33;без цвета;;;;есть в наличии
Грунтосмеси;Универсальные;Полесский субстрат Универсальный;RICH LAND;Нет;;Нет;;000000924;Полесский субстрат Универсальный 20л;57;57;57;без цвета;;;;есть в наличии
Грунтосмеси;Для орхидей;Санремо субстрат Орхидея;RICH LAND;Нет;;Нет;;000000925;Санремо субстрат Орхидея 3л;30;30;30;без цвета;;3;;Ожидается
Грунтосмеси;Для декоративно-лиственных;Санремо субстрат Декор-лиственный;RICH LAND;Нет;;Нет;;000000926;Санремо субстрат Декор-лиственный 3л;10;10;10;без цвета;;3;;Ожидается
